,Characteristics,Category,Year,Reading,Math,Writing,Percentage Distribution
0,All students,All students,2004-01-01,508.0,518.0,0.0,100.0
1,Top decile,High school rank,2004-01-01,584.0,602.0,0.0,29.0
2,Second decile,High school rank,2004-01-01,522.0,537.0,0.0,24.0
3,Second quintile,High school rank,2004-01-01,486.0,494.0,0.0,22.0
4,Third quintile,High school rank,2004-01-01,449.0,451.0,0.0,20.0
5,Fourth quintile,High school rank,2004-01-01,422.0,421.0,0.0,4.0
6,Fifth quintile,High school rank,2004-01-01,415.0,418.0,0.0,1.0
7,A+ (97-100),High school grade point average,2004-01-01,606.0,620.0,0.0,6.0
8,A (93-96),High school grade point average,2004-01-01,567.0,580.0,0.0,18.0
9,A- (90-92),High school grade point average,2004-01-01,537.0,549.0,0.0,17.0
10,B (80-89),High school grade point average,2004-01-01,480.0,486.0,0.0,47.0
11,C (70-79),High school grade point average,2004-01-01,429.0,431.0,0.0,11.0
12,"D, E, or F (below 70)",High school grade point average,2004-01-01,421.0,446.0,0.0,0.0
13,Agriculture and Related Sciences,Intended college major,2004-01-01,484.0,483.0,0.0,1.0
14,Architecture,Intended college major,2004-01-01,479.0,510.0,0.0,2.0
15,Arts: Visual/Performing,Intended college major,2004-01-01,517.0,501.0,0.0,8.0
16,Biological and Biomedical Sciences,Intended college major,2004-01-01,544.0,552.0,0.0,6.0
17,Business and Commerce,Intended college major,2004-01-01,486.0,509.0,0.0,13.0
18,Communications and Journalism,Intended college major,2004-01-01,525.0,505.0,0.0,4.0
19,Computer and Information sciences,Intended college major,2004-01-01,504.0,532.0,0.0,5.0
20,Education,Intended college major,2004-01-01,483.0,482.0,0.0,8.0
21,Engineering,Intended college major,2004-01-01,525.0,573.0,0.0,9.0
22,Foreign languages and literatures,Intended college major,2004-01-01,570.0,545.0,0.0,1.0
23,General/Interdisciplinary,Intended college major,2004-01-01,547.0,533.0,0.0,0.0
24,Health And Allied Services,Intended college major,2004-01-01,487.0,495.0,0.0,17.0
25,Home Economics,Intended college major,2004-01-01,460.0,461.0,0.0,0.0
26,Language And Literature,Intended college major,2004-01-01,603.0,547.0,0.0,2.0
27,Library And Archival Sciences,Intended college major,2004-01-01,567.0,515.0,0.0,0.0
28,Mathematics,Intended college major,2004-01-01,541.0,621.0,0.0,1.0
29,Military Sciences,Intended college major,2004-01-01,516.0,520.0,0.0,1.0
30,Philosophy And Religious Studies,Intended college major,2004-01-01,560.0,539.0,0.0,1.0
31,Physical Sciences,Intended college major,2004-01-01,564.0,587.0,0.0,2.0
32,Public Affairs And Services,Intended college major,2004-01-01,464.0,459.0,0.0,3.0
33,Social Sciences,Intended college major,2004-01-01,534.0,515.0,0.0,10.0
34,Technical And Vocational,Intended college major,2004-01-01,443.0,453.0,0.0,1.0
35,Undecided,Intended college major,2004-01-01,514.0,526.0,0.0,6.0
36,Certificate program,Degree-level goal,2004-01-01,441.0,456.0,0.0,1.0
37,Associate's Degree,Degree-level goal,2004-01-01,417.0,417.0,0.0,1.0
38,Bachelor's degree,Degree-level goal,2004-01-01,474.0,479.0,0.0,24.0
39,Master's degree,Degree-level goal,2004-01-01,511.0,520.0,0.0,29.0
40,Doctoral or related degree,Degree-level goal,2004-01-01,540.0,547.0,0.0,21.0
41,Other,Degree-level goal,2004-01-01,439.0,457.0,0.0,1.0
42,Undecided,Degree-level goal,2004-01-01,513.0,521.0,0.0,23.0
43,"Less than $20,000",Family income,2004-01-01,422.0,450.0,0.0,5.0
44,"Less than $20,000",Family income,2004-01-01,440.0,457.0,0.0,8.0
45,"$20,000, to $40,000",Family income,2004-01-01,459.0,467.0,0.0,10.0
46,"$20,000, to $40,000",Family income,2004-01-01,478.0,482.0,0.0,11.0
47,"$40,000, to $60,000",Family income,2004-01-01,493.0,496.0,0.0,9.0
48,"$40,000, to $60,000",Family income,2004-01-01,501.0,504.0,0.0,9.0
49,"$60,000, to $80,000",Family income,2004-01-01,507.0,510.0,0.0,8.0
50,"$60,000, to $80,000",Family income,2004-01-01,515.0,518.0,0.0,8.0
51,"$80,000 to $100,000",Family income,2004-01-01,527.0,530.0,0.0,12.0
52,"$100,000, to $150,000",Family income,2004-01-01,553.0,562.0,0.0,20.0
53,No high school diploma,Highest level of parental education,2004-01-01,415.0,445.0,0.0,5.0
54,High school diploma,Highest level of parental education,2004-01-01,469.0,474.0,0.0,33.0
55,Associate's Degree,Highest level of parental education,2004-01-01,486.0,490.0,0.0,9.0
56,Bachelor's degree,Highest level of parental education,2004-01-01,523.0,531.0,0.0,28.0
57,Graduate degree,Highest level of parental education,2004-01-01,558.0,564.0,0.0,25.0
58,All students,All students,2010-01-01,501.0,516.0,492.0,100.0
59,Top decile,High school rank,2010-01-01,578.0,606.0,575.0,34.0
60,Second decile,High school rank,2010-01-01,514.0,535.0,505.0,27.0
61,Second quintile,High school rank,2010-01-01,484.0,499.0,472.0,19.0
62,Bottom three quintiles ,High school rank,2010-01-01,441.0,450.0,429.0,20.0
63,A+ (97-100),High school grade point average,2010-01-01,599.0,621.0,596.0,6.0
64,A (93-96),High school grade point average,2010-01-01,563.0,584.0,558.0,19.0
65,A- (90-92),High school grade point average,2010-01-01,531.0,550.0,525.0,19.0
66,B (80-89),High school grade point average,2010-01-01,473.0,483.0,462.0,45.0
67,C (70-79),High school grade point average,2010-01-01,418.0,424.0,405.0,10.0
68,"D, E, or F (below 70)",High school grade point average,2010-01-01,411.0,422.0,399.0,0.0
69,Public,High school type,2010-01-01,498.0,511.0,488.0,84.0
70,"Private, religiously affiliated",High school type,2010-01-01,533.0,534.0,530.0,11.0
71,"Private, independent",High school type,2010-01-01,557.0,583.0,560.0,6.0
72,Agriculture and Related Sciences,Intended college major,2010-01-01,476.0,485.0,464.0,1.0
73,Architecture,Intended college major,2010-01-01,492.0,536.0,487.0,2.0
74,"Area, Ethnic, Cultural, and Gender Studies",Intended college major,2010-01-01,555.0,523.0,540.0,0.0
75,Arts: Visual/Performing,Intended college major,2010-01-01,513.0,501.0,503.0,8.0
76,Biological and Biomedical Sciences,Intended college major,2010-01-01,544.0,560.0,536.0,6.0
77,Business and Commerce,Intended college major,2010-01-01,490.0,523.0,487.0,12.0
78,Communications and Journalism,Intended college major,2010-01-01,524.0,506.0,520.0,3.0
79,Computer and Information sciences,Intended college major,2010-01-01,510.0,539.0,486.0,2.0
80,Construction Trades,Intended college major,2010-01-01,416.0,452.0,398.0,0.0
81,Education,Intended college major,2010-01-01,481.0,486.0,477.0,6.0
82,Engineering,Intended college major,2010-01-01,531.0,587.0,516.0,8.0
83,Engineering Technologies,Intended college major,2010-01-01,463.0,509.0,446.0,2.0
84,English Language and Literature,Intended college major,2010-01-01,587.0,532.0,572.0,2.0
85,Family and Consumer Sciences,Intended college major,2010-01-01,459.0,465.0,455.0,0.0
86,Foreign languages and literatures,Intended college major,2010-01-01,572.0,545.0,562.0,1.0
87,General/Interdisciplinary,Intended college major,2010-01-01,,,,
88,Health And Allied Services,Intended college major,2010-01-01,489.0,503.0,485.0,18.0
89,History,Intended college major,2010-01-01,545.0,516.0,516.0,1.0
90,Legal Professions And Studies,Intended college major,2010-01-01,511.0,506.0,499.0,3.0
91,"Liberal Arts And Sciences, General Studies, And Humanities",Intended college major,2010-01-01,559.0,539.0,549.0,1.0
92,Library And Archival Sciences,Intended college major,2010-01-01,558.0,505.0,519.0,0.0
93,Mathematics,Intended college major,2010-01-01,522.0,606.0,522.0,1.0
94,Mechanic And Repair Technologies Technician,Intended college major,2010-01-01,419.0,452.0,402.0,0.0
95,Military Sciences,Intended college major,2010-01-01,501.0,504.0,469.0,0.0
96,Multi/Interdisciplinary Studies,Intended college major,2010-01-01,605.0,598.0,592.0,0.0
97,Natural Resources And Conservation,Intended college major,2010-01-01,528.0,528.0,510.0,1.0
98,"Parks, Recreation, And Leisure Studies",Intended college major,2010-01-01,448.0,474.0,439.0,1.0
99,Personal And Culinary Services,Intended college major,2010-01-01,457.0,460.0,443.0,0.0
100,Philosophy And Religious Studies,Intended college major,2010-01-01,563.0,540.0,540.0,0.0
101,Physical Sciences,Intended college major,2010-01-01,558.0,588.0,540.0,1.0
102,Precision Production,Intended college major,2010-01-01,436.0,464.0,417.0,0.0
103,Psychology,Intended college major,2010-01-01,505.0,492.0,496.0,5.0
104,Public Affairs And Services,Intended college major,2010-01-01,469.0,459.0,462.0,0.0
105,Security And Protective Services,Intended college major,2010-01-01,448.0,459.0,438.0,2.0
106,Social Sciences,Intended college major,2010-01-01,,,,
107,Social Sciences,Intended college major,2010-01-01,574.0,558.0,559.0,2.0
108,Technical And Vocational,Intended college major,2010-01-01,,,,
109,Theology And Religious Vocations,Intended college major,2010-01-01,539.0,524.0,515.0,0.0
110,Transportation And Materials Moving,Intended college major,2010-01-01,464.0,496.0,451.0,0.0
111,Other,Intended college major,2010-01-01,456.0,465.0,447.0,2.0
112,Undecided,Intended college major,2010-01-01,532.0,548.0,524.0,7.0
113,Certificate program,Degree-level goal,2010-01-01,442.0,463.0,432.0,1.0
114,Associate's Degree,Degree-level goal,2010-01-01,414.0,421.0,405.0,1.0
115,Bachelor's degree,Degree-level goal,2010-01-01,477.0,488.0,466.0,28.0
116,Master's degree,Degree-level goal,2010-01-01,509.0,524.0,501.0,30.0
117,Doctoral or related degree,Degree-level goal,2010-01-01,537.0,551.0,529.0,21.0
118,Other,Degree-level goal,2010-01-01,431.0,452.0,427.0,1.0
119,Undecided,Degree-level goal,2010-01-01,516.0,529.0,507.0,18.0
120,"Less than $20,000",Family income,2010-01-01,437.0,460.0,432.0,11.0
121,"$20,000, to $40,000",Family income,2010-01-01,465.0,479.0,455.0,16.0
122,"$40,000, to $60,000",Family income,2010-01-01,490.0,500.0,478.0,15.0
123,"$60,000, to $80,000",Family income,2010-01-01,504.0,514.0,492.0,14.0
124,"$80,000 to $100,000",Family income,2010-01-01,518.0,529.0,505.0,12.0
125,"$100,000, to $150,000",Family income,2010-01-01,528.0,541.0,518.0,10.0
126,"$100,000, to $150,000",Family income,2010-01-01,533.0,546.0,523.0,5.0
127,"$100,000, to $150,000",Family income,2010-01-01,540.0,554.0,531.0,4.0
128,"$150,000, to $200,000",Family income,2010-01-01,547.0,561.0,540.0,5.0
129,"More than $200,000",Family income,2010-01-01,568.0,586.0,567.0,7.0
130,No high school diploma,Highest level of parental education,2010-01-01,422.0,446.0,419.0,5.0
131,High school diploma,Highest level of parental education,2010-01-01,464.0,475.0,453.0,31.0
132,Associate's Degree,Highest level of parental education,2010-01-01,482.0,491.0,469.0,9.0
133,Bachelor's degree,Highest level of parental education,2010-01-01,521.0,536.0,512.0,30.0
134,Graduate degree,Highest level of parental education,2010-01-01,561.0,575.0,554.0,26.0
135,All students,All students,2011-01-01,497.0,514.0,489.0,100.0
136,Top decile,High school rank,2011-01-01,575.0,606.0,572.0,35.0
137,Second decile,High school rank,2011-01-01,510.0,535.0,503.0,27.0
138,Second quintile,High school rank,2011-01-01,482.0,498.0,470.0,18.0
139,Bottom three quintiles ,High school rank,2011-01-01,438.0,448.0,426.0,20.0
140,A+ (97-100),High school grade point average,2011-01-01,596.0,620.0,595.0,6.0
141,A (93-96),High school grade point average,2011-01-01,560.0,583.0,556.0,19.0
142,A- (90-92),High school grade point average,2011-01-01,528.0,548.0,521.0,19.0
143,B (80-89),High school grade point average,2011-01-01,469.0,480.0,458.0,45.0
144,C (70-79),High school grade point average,2011-01-01,416.0,421.0,401.0,10.0
145,"D, E, or F (below 70)",High school grade point average,2011-01-01,409.0,425.0,398.0,0.0
146,Public,High school type,2011-01-01,494.0,506.0,483.0,84.0
147,"Private, religiously affiliated",High school type,2011-01-01,531.0,533.0,528.0,10.0
148,"Private, independent",High school type,2011-01-01,541.0,579.0,550.0,6.0
149,Agriculture and Related Sciences,Intended college major,2011-01-01,475.0,484.0,461.0,1.0
150,Architecture,Intended college major,2011-01-01,490.0,534.0,485.0,2.0
151,"Area, Ethnic, Cultural, and Gender Studies",Intended college major,2011-01-01,545.0,513.0,531.0,0.0
152,Arts: Visual/Performing,Intended college major,2011-01-01,508.0,497.0,499.0,8.0
153,Biological and Biomedical Sciences,Intended college major,2011-01-01,540.0,557.0,533.0,6.0
154,Business and Commerce,Intended college major,2011-01-01,488.0,522.0,484.0,11.0
155,Communications and Journalism,Intended college major,2011-01-01,519.0,502.0,516.0,3.0
156,Computer and Information sciences,Intended college major,2011-01-01,511.0,539.0,485.0,2.0
157,Construction Trades,Intended college major,2011-01-01,422.0,451.0,399.0,0.0
158,Education,Intended college major,2011-01-01,480.0,487.0,476.0,6.0
159,Engineering,Intended college major,2011-01-01,528.0,584.0,513.0,8.0
160,Engineering Technologies,Intended college major,2011-01-01,464.0,511.0,447.0,2.0
161,English Language and Literature,Intended college major,2011-01-01,584.0,529.0,570.0,1.0
162,Family and Consumer Sciences,Intended college major,2011-01-01,456.0,461.0,452.0,0.0
163,Foreign languages and literatures,Intended college major,2011-01-01,567.0,542.0,557.0,1.0
164,General/Interdisciplinary,Intended college major,2011-01-01,,,,
165,Health And Allied Services,Intended college major,2011-01-01,487.0,502.0,484.0,19.0
166,History,Intended college major,2011-01-01,542.0,510.0,511.0,1.0
167,Legal Professions And Studies,Intended college major,2011-01-01,512.0,507.0,500.0,3.0
168,"Liberal Arts And Sciences, General Studies, And Humanities",Intended college major,2011-01-01,552.0,532.0,541.0,1.0
169,Library And Archival Sciences,Intended college major,2011-01-01,564.0,505.0,516.0,0.0
170,Mathematics,Intended college major,2011-01-01,518.0,603.0,519.0,1.0
171,Mechanic And Repair Technologies Technician,Intended college major,2011-01-01,421.0,451.0,400.0,0.0
172,Military Sciences,Intended college major,2011-01-01,467.0,471.0,433.0,0.0
173,Multi/Interdisciplinary Studies,Intended college major,2011-01-01,582.0,580.0,570.0,0.0
174,Natural Resources And Conservation,Intended college major,2011-01-01,525.0,524.0,506.0,1.0
175,"Parks, Recreation, And Leisure Studies",Intended college major,2011-01-01,444.0,468.0,435.0,1.0
176,Personal And Culinary Services,Intended college major,2011-01-01,457.0,456.0,440.0,0.0
177,Philosophy And Religious Studies,Intended college major,2011-01-01,557.0,535.0,530.0,0.0
178,Physical Sciences,Intended college major,2011-01-01,553.0,582.0,537.0,1.0
179,Precision Production,Intended college major,2011-01-01,436.0,468.0,422.0,0.0
180,Psychology,Intended college major,2011-01-01,505.0,494.0,497.0,5.0
181,Public Affairs And Services,Intended college major,2011-01-01,467.0,459.0,462.0,0.0
182,Security And Protective Services,Intended college major,2011-01-01,445.0,454.0,432.0,2.0
183,Social Sciences,Intended college major,2011-01-01,,,,
184,Social Sciences,Intended college major,2011-01-01,573.0,558.0,559.0,2.0
185,Technical And Vocational,Intended college major,2011-01-01,,,,
186,Theology And Religious Vocations,Intended college major,2011-01-01,539.0,522.0,513.0,0.0
187,Transportation And Materials Moving,Intended college major,2011-01-01,465.0,496.0,446.0,0.0
188,Other,Intended college major,2011-01-01,453.0,462.0,443.0,2.0
189,Undecided,Intended college major,2011-01-01,530.0,545.0,522.0,8.0
190,Certificate program,Degree-level goal,2011-01-01,445.0,464.0,434.0,1.0
191,Associate's Degree,Degree-level goal,2011-01-01,412.0,416.0,400.0,1.0
192,Bachelor's degree,Degree-level goal,2011-01-01,478.0,490.0,467.0,30.0
193,Master's degree,Degree-level goal,2011-01-01,506.0,524.0,499.0,29.0
194,Doctoral or related degree,Degree-level goal,2011-01-01,534.0,550.0,527.0,21.0
195,Other,Degree-level goal,2011-01-01,425.0,451.0,423.0,1.0
196,Undecided,Degree-level goal,2011-01-01,509.0,522.0,499.0,16.0
197,"Less than $20,000",Family income,2011-01-01,434.0,460.0,429.0,13.0
198,"$20,000, to $40,000",Family income,2011-01-01,464.0,480.0,454.0,16.0
199,"$40,000, to $60,000",Family income,2011-01-01,487.0,499.0,475.0,15.0
200,"$60,000, to $80,000",Family income,2011-01-01,502.0,512.0,489.0,14.0
201,"$80,000 to $100,000",Family income,2011-01-01,515.0,527.0,503.0,12.0
202,"$100,000, to $150,000",Family income,2011-01-01,526.0,539.0,515.0,10.0
203,"$100,000, to $150,000",Family income,2011-01-01,530.0,544.0,520.0,5.0
204,"$100,000, to $150,000",Family income,2011-01-01,538.0,552.0,529.0,4.0
205,"$150,000, to $200,000",Family income,2011-01-01,543.0,557.0,536.0,5.0
206,"More than $200,000",Family income,2011-01-01,568.0,586.0,567.0,7.0
207,No high school diploma,Highest level of parental education,2011-01-01,421.0,449.0,418.0,6.0
208,High school diploma,Highest level of parental education,2011-01-01,463.0,476.0,452.0,31.0
209,Associate's Degree,Highest level of parental education,2011-01-01,480.0,489.0,466.0,8.0
210,Bachelor's degree,Highest level of parental education,2011-01-01,522.0,538.0,514.0,31.0
211,Graduate degree,Highest level of parental education,2011-01-01,559.0,574.0,554.0,25.0
212,All students,All students,2005-01-01,508.0,520.0,0.0,0.0
213,Top decile,High school rank,2005-01-01,585.0,606.0,0.0,0.0
214,Second decile,High school rank,2005-01-01,523.0,540.0,0.0,0.0
215,Second quintile,High school rank,2005-01-01,488.0,499.0,0.0,0.0
216,Third quintile,High school rank,2005-01-01,452.0,455.0,0.0,0.0
217,Fourth quintile,High school rank,2005-01-01,425.0,424.0,0.0,0.0
218,Fifth quintile,High school rank,2005-01-01,426.0,430.0,0.0,0.0
219,A+ (97-100),High school grade point average,2005-01-01,607.0,625.0,0.0,0.0
220,A (93-96),High school grade point average,2005-01-01,570.0,585.0,0.0,0.0
221,A- (90-92),High school grade point average,2005-01-01,541.0,555.0,0.0,0.0
222,B (80-89),High school grade point average,2005-01-01,484.0,491.0,0.0,0.0
223,C (70-79),High school grade point average,2005-01-01,430.0,432.0,0.0,0.0
224,"D, E, or F (below 70)",High school grade point average,2005-01-01,415.0,439.0,0.0,0.0
225,Agriculture and Related Sciences,Intended college major,2005-01-01,487.0,486.0,0.0,0.0
226,Architecture,Intended college major,2005-01-01,495.0,527.0,0.0,0.0
227,Arts: Visual/Performing,Intended college major,2005-01-01,521.0,506.0,0.0,0.0
228,Biological and Biomedical Sciences,Intended college major,2005-01-01,547.0,558.0,0.0,0.0
229,Business and Commerce,Intended college major,2005-01-01,491.0,515.0,0.0,0.0
230,Communications and Journalism,Intended college major,2005-01-01,527.0,509.0,0.0,0.0
231,Computer and Information sciences,Intended college major,2005-01-01,508.0,535.0,0.0,0.0
232,Education,Intended college major,2005-01-01,486.0,488.0,0.0,0.0
233,Engineering,Intended college major,2005-01-01,529.0,579.0,0.0,0.0
234,Foreign languages and literatures,Intended college major,2005-01-01,575.0,551.0,0.0,0.0
235,General/Interdisciplinary,Intended college major,2005-01-01,546.0,535.0,0.0,0.0
236,Health And Allied Services,Intended college major,2005-01-01,490.0,501.0,0.0,0.0
237,Home Economics,Intended college major,2005-01-01,463.0,466.0,0.0,0.0
238,Language And Literature,Intended college major,2005-01-01,606.0,552.0,0.0,0.0
239,Library And Archival Sciences,Intended college major,2005-01-01,577.0,511.0,0.0,0.0
240,Mathematics,Intended college major,2005-01-01,545.0,626.0,0.0,0.0
241,Military Sciences,Intended college major,2005-01-01,522.0,526.0,0.0,0.0
242,Philosophy And Religious Studies,Intended college major,2005-01-01,561.0,542.0,0.0,0.0
243,Physical Sciences,Intended college major,2005-01-01,565.0,591.0,0.0,0.0
244,Public Affairs And Services,Intended college major,2005-01-01,465.0,463.0,0.0,0.0
245,Social Sciences,Intended college major,2005-01-01,540.0,522.0,0.0,0.0
246,Technical And Vocational,Intended college major,2005-01-01,445.0,456.0,0.0,0.0
247,Undecided,Intended college major,2005-01-01,517.0,530.0,0.0,0.0
248,Certificate program,Degree-level goal,2005-01-01,445.0,463.0,0.0,0.0
249,Associate's Degree,Degree-level goal,2005-01-01,420.0,421.0,0.0,0.0
250,Bachelor's degree,Degree-level goal,2005-01-01,481.0,487.0,0.0,0.0
251,Master's degree,Degree-level goal,2005-01-01,516.0,526.0,0.0,0.0
252,Doctoral or related degree,Degree-level goal,2005-01-01,542.0,552.0,0.0,0.0
253,Other,Degree-level goal,2005-01-01,442.0,464.0,0.0,0.0
254,Undecided,Degree-level goal,2005-01-01,517.0,527.0,0.0,0.0
255,"Less than $20,000",Family income,2005-01-01,426.0,458.0,0.0,0.0
256,"Less than $20,000",Family income,2005-01-01,443.0,463.0,0.0,0.0
257,"$20,000, to $40,000",Family income,2005-01-01,463.0,474.0,0.0,0.0
258,"$20,000, to $40,000",Family income,2005-01-01,480.0,487.0,0.0,0.0
259,"$40,000, to $60,000",Family income,2005-01-01,496.0,500.0,0.0,0.0
260,"$40,000, to $60,000",Family income,2005-01-01,505.0,509.0,0.0,0.0
261,"$60,000, to $80,000",Family income,2005-01-01,511.0,515.0,0.0,0.0
262,"$60,000, to $80,000",Family income,2005-01-01,517.0,522.0,0.0,0.0
263,"$80,000 to $100,000",Family income,2005-01-01,529.0,534.0,0.0,0.0
264,"$100,000, to $150,000",Family income,2005-01-01,554.0,565.0,0.0,0.0
265,No high school diploma,Highest level of parental education,2005-01-01,419.0,452.0,0.0,0.0
266,High school diploma,Highest level of parental education,2005-01-01,471.0,479.0,0.0,0.0
267,Associate's Degree,Highest level of parental education,2005-01-01,489.0,494.0,0.0,0.0
268,Bachelor's degree,Highest level of parental education,2005-01-01,527.0,536.0,0.0,0.0
269,Graduate degree,Highest level of parental education,2005-01-01,561.0,570.0,0.0,0.0
270,All students,All students,2013-01-01,496.0,514.0,488.0,100.0
271,Top decile,High school rank,2013-01-01,572.0,606.0,569.0,36.0
272,Second decile,High school rank,2013-01-01,508.0,534.0,499.0,27.0
273,Second quintile,High school rank,2013-01-01,481.0,497.0,468.0,18.0
274,Bottom three quintiles ,High school rank,2013-01-01,436.0,445.0,423.0,20.0
275,A+ (97-100),High school grade point average,2013-01-01,592.0,619.0,590.0,7.0
276,A (93-96),High school grade point average,2013-01-01,557.0,580.0,553.0,21.0
277,A- (90-92),High school grade point average,2013-01-01,522.0,543.0,515.0,20.0
278,B (80-89),High school grade point average,2013-01-01,465.0,476.0,454.0,44.0
279,C (70-79),High school grade point average,2013-01-01,411.0,417.0,398.0,9.0
280,"D, E, or F (below 70)",High school grade point average,2013-01-01,399.0,417.0,389.0,0.0
281,Public,High school type,2013-01-01,491.0,503.0,480.0,84.0
282,"Private, religiously affiliated",High school type,2013-01-01,531.0,536.0,528.0,9.0
283,"Private, independent",High school type,2013-01-01,536.0,581.0,545.0,6.0
284,Agriculture and Related Sciences,Intended college major,2013-01-01,469.0,478.0,457.0,1.0
285,Architecture,Intended college major,2013-01-01,487.0,530.0,482.0,2.0
286,"Area, Ethnic, Cultural, and Gender Studies",Intended college major,2013-01-01,539.0,509.0,525.0,0.0
287,Arts: Visual/Performing,Intended college major,2013-01-01,504.0,494.0,492.0,7.0
288,Biological and Biomedical Sciences,Intended college major,2013-01-01,537.0,552.0,529.0,7.0
289,Business and Commerce,Intended college major,2013-01-01,490.0,522.0,485.0,11.0
290,Communications and Journalism,Intended college major,2013-01-01,515.0,498.0,511.0,3.0
291,Computer and Information sciences,Intended college major,2013-01-01,518.0,547.0,493.0,3.0
292,Construction Trades,Intended college major,2013-01-01,421.0,452.0,401.0,0.0
293,Education,Intended college major,2013-01-01,481.0,485.0,476.0,4.0
294,Engineering,Intended college major,2013-01-01,527.0,580.0,512.0,10.0
295,Engineering Technologies,Intended college major,2013-01-01,471.0,524.0,458.0,1.0
296,English Language and Literature,Intended college major,2013-01-01,578.0,524.0,563.0,1.0
297,Family and Consumer Sciences,Intended college major,2013-01-01,448.0,452.0,445.0,0.0
298,Foreign languages and literatures,Intended college major,2013-01-01,562.0,539.0,551.0,1.0
299,General/Interdisciplinary,Intended college major,2013-01-01,,,,
300,Health And Allied Services,Intended college major,2013-01-01,484.0,497.0,479.0,19.0
301,History,Intended college major,2013-01-01,540.0,509.0,511.0,1.0
302,Legal Professions And Studies,Intended college major,2013-01-01,516.0,509.0,503.0,3.0
303,"Liberal Arts And Sciences, General Studies, And Humanities",Intended college major,2013-01-01,547.0,530.0,536.0,1.0
304,Library And Archival Sciences,Intended college major,2013-01-01,563.0,509.0,520.0,0.0
305,Mathematics,Intended college major,2013-01-01,523.0,604.0,522.0,1.0
306,Mechanic And Repair Technologies Technician,Intended college major,2013-01-01,416.0,444.0,397.0,0.0
307,Military Sciences,Intended college major,2013-01-01,486.0,496.0,460.0,1.0
308,Multi/Interdisciplinary Studies,Intended college major,2013-01-01,587.0,594.0,576.0,0.0
309,Natural Resources And Conservation,Intended college major,2013-01-01,518.0,519.0,500.0,1.0
310,"Parks, Recreation, And Leisure Studies",Intended college major,2013-01-01,438.0,461.0,429.0,1.0
311,Personal And Culinary Services,Intended college major,2013-01-01,448.0,449.0,433.0,0.0
312,Philosophy And Religious Studies,Intended college major,2013-01-01,546.0,530.0,527.0,0.0
313,Physical Sciences,Intended college major,2013-01-01,554.0,582.0,537.0,2.0
314,Precision Production,Intended college major,2013-01-01,442.0,476.0,427.0,0.0
315,Psychology,Intended college major,2013-01-01,502.0,490.0,492.0,5.0
316,Public Affairs And Services,Intended college major,2013-01-01,462.0,454.0,457.0,0.0
317,Security And Protective Services,Intended college major,2013-01-01,445.0,453.0,433.0,3.0
318,Social Sciences,Intended college major,2013-01-01,,,,
319,Social Sciences,Intended college major,2013-01-01,565.0,553.0,551.0,2.0
320,Technical And Vocational,Intended college major,2013-01-01,,,,
321,Theology And Religious Vocations,Intended college major,2013-01-01,527.0,509.0,507.0,0.0
322,Transportation And Materials Moving,Intended college major,2013-01-01,451.0,486.0,438.0,0.0
323,Other,Intended college major,2013-01-01,450.0,460.0,440.0,2.0
324,Undecided,Intended college major,2013-01-01,533.0,547.0,524.0,7.0
325,Certificate program,Degree-level goal,2013-01-01,440.0,459.0,430.0,1.0
326,Associate's Degree,Degree-level goal,2013-01-01,409.0,414.0,397.0,1.0
327,Bachelor's degree,Degree-level goal,2013-01-01,478.0,489.0,466.0,30.0
328,Master's degree,Degree-level goal,2013-01-01,506.0,524.0,499.0,30.0
329,Doctoral or related degree,Degree-level goal,2013-01-01,533.0,548.0,525.0,21.0
330,Other,Degree-level goal,2013-01-01,412.0,445.0,411.0,1.0
331,Undecided,Degree-level goal,2013-01-01,504.0,520.0,495.0,15.0
332,"Less than $20,000",Family income,2013-01-01,435.0,462.0,429.0,14.0
333,"$20,000, to $40,000",Family income,2013-01-01,465.0,482.0,455.0,16.0
334,"$40,000, to $60,000",Family income,2013-01-01,487.0,500.0,474.0,14.0
335,"$60,000, to $80,000",Family income,2013-01-01,500.0,511.0,486.0,13.0
336,"$80,000 to $100,000",Family income,2013-01-01,512.0,524.0,499.0,11.0
337,"$100,000, to $150,000",Family income,2013-01-01,522.0,536.0,511.0,10.0
338,"$100,000, to $150,000",Family income,2013-01-01,526.0,540.0,515.0,5.0
339,"$100,000, to $150,000",Family income,2013-01-01,533.0,548.0,523.0,4.0
340,"$150,000, to $200,000",Family income,2013-01-01,539.0,555.0,531.0,5.0
341,"More than $200,000",Family income,2013-01-01,565.0,586.0,563.0,8.0
342,No high school diploma,Highest level of parental education,2013-01-01,423.0,451.0,420.0,6.0
343,High school diploma,Highest level of parental education,2013-01-01,464.0,477.0,453.0,29.0
344,Associate's Degree,Highest level of parental education,2013-01-01,480.0,488.0,466.0,8.0
345,Bachelor's degree,Highest level of parental education,2013-01-01,523.0,540.0,513.0,31.0
346,Graduate degree,Highest level of parental education,2013-01-01,560.0,576.0,553.0,25.0
347,All students,All students,2007-01-01,502.0,515.0,494.0,100.0
348,Top decile,High school rank,2007-01-01,580.0,602.0,575.0,32.0
349,Second decile,High school rank,2007-01-01,516.0,534.0,508.0,26.0
350,Second quintile,High school rank,2007-01-01,484.0,497.0,474.0,20.0
351,Bottom three quintiles ,High school rank,2007-01-01,444.0,450.0,434.0,22.0
